topK,AUROC_mean,AUPRC_mean,AUROC_std,AUPRC_std
1.0,0.5343575788666434,0.07988705426467098,0.02475751729737065,0.005103193556474017
2.0,0.6428008006505775,0.22024607841492214,0.007989527739425538,0.014668510412652082
3.0,0.6425388421287848,0.23855175930201722,0.01230714821093027,0.021332289906108963
4.0,0.6551716345538127,0.24284718191376,0.012848026040088962,0.02097817315090503
5.0,0.6597385360543425,0.251278791967259,0.012326721752179805,0.020971933301944926
6.0,0.6599446871733619,0.24941449762612738,0.012414764562890018,0.018815053061588732
7.0,0.6837498864967705,0.2649531759714686,0.007872077845439134,0.018940753452388208
8.0,0.6832085266424072,0.2659094223895503,0.007878895764824432,0.017516357642487566
9.0,0.7911033529343328,0.31137953991888623,0.012731513095858491,0.016868789755996594
10.0,0.793210309002931,0.31101662900683474,0.013380909408943055,0.016805773337785216
11.0,0.7977765981587229,0.31466302075735925,0.014277001006164192,0.01484255796335602
12.0,0.7972404961678198,0.3134484419816759,0.014490166996440223,0.01570269672226288
13.0,0.7966486301952014,0.312945018521569,0.014347085065171968,0.014912796646717043
14.0,0.7967696934294797,0.3134033094287953,0.013779321118999939,0.014708177071204755
15.0,0.796751917368159,0.31244697770729096,0.01428680443067913,0.01488633045233714
16.0,0.7964251441957282,0.31292076059929325,0.014290776814547037,0.014153641869855727
17.0,0.7954884334151515,0.31298568504077035,0.014200412859731558,0.01725606234682214
18.0,0.8012626503292631,0.3174675477057428,0.012535910353124135,0.01547629765068242
19.0,0.8029695341602789,0.3151554868211966,0.013648793242315735,0.01331851761678342
20.0,0.8028656166560522,0.31436775830449204,0.014253966191377513,0.010806309198878384
21.0,0.8021184778990481,0.31301423176927995,0.015050156538554396,0.013078671145264242
22.0,0.802603760090862,0.31980041011238736,0.01396346399440856,0.011579925087301244
23.0,0.802041058861873,0.31941064231279837,0.013773737993218441,0.01068721687590077
24.0,0.7991269101213966,0.31807190713786004,0.012368432057690509,0.010255607574825807
25.0,0.7971800045703539,0.31630728159874755,0.013656488251428494,0.01166515297739245
26.0,0.798633523491125,0.31774654309298056,0.012980660303467225,0.012820598833627291
27.0,0.79811649236515,0.31718509841965564,0.013828818441390894,0.009178390933868508
28.0,0.8047800230939078,0.3241021941314278,0.011936326857212626,0.009781334547885155
29.0,0.8094131830830478,0.3308819691349311,0.007451950985446438,0.01715235976493373
30.0,0.80775389131426,0.322359699359145,0.008032750428347444,0.01451253592080723
31.0,0.8063784492883326,0.3204483478951373,0.00819038198203257,0.014672816171445129
32.0,0.8054388439839519,0.32258149400785824,0.009015107462021471,0.014798862095031971
33.0,0.8086221195000529,0.3194288582937902,0.00742014791601694,0.01442314981324608
34.0,0.8030491723072692,0.3129069683629815,0.0069452535379290895,0.012091893817534966
35.0,0.8073638387639098,0.31706040276839875,0.007388092963157635,0.020097387502562895
36.0,0.793293638182781,0.2962906333987249,0.006802443743554722,0.008194649169527713
37.0,0.7936615613620001,0.29412547094115227,0.006603030193027596,0.007428115056111955
38.0,0.795480409135104,0.29494373091054454,0.007788327742717406,0.008650518934446055
39.0,0.7948876745694455,0.29478991284738876,0.0071111740870416495,0.006693314734282331
40.0,0.7960453829662273,0.2929198054659402,0.0048969613983833515,0.006358342527550553
41.0,0.796956222070206,0.29503363095421115,0.007825344175102267,0.009672794923949308
42.0,0.7961132203386826,0.28862573876770303,0.006363515143410729,0.010764659378962831
43.0,0.7988625163530676,0.2916374269974498,0.009596671369455129,0.014127813152195605
44.0,0.7971729331622527,0.28803490835395834,0.004308888883475991,0.009680813548805007
45.0,0.7939433400911351,0.2749777739645983,0.005094055668583047,0.01705335409506808
46.0,0.7861626547020693,0.26173531596499305,0.009753654349710445,0.012446723411794959
47.0,0.7894685078875658,0.26910770245034155,0.00916990579805273,0.01728160548490011
48.0,0.785318892290656,0.2628613553091739,0.00968757585221981,0.013011962054416048
49.0,0.7859366317343195,0.2642894423350745,0.009741162945988757,0.012020912853874473
50.0,0.7873087081404365,0.2705826817053713,0.010067910805144836,0.015109586318457238
51.0,0.7879488347284571,0.2709992485548324,0.010013599067383968,0.014026132469975739
52.0,0.7871681370484838,0.2703510020764591,0.010195042001351665,0.014969748147394126
53.0,0.7871032281511271,0.2705512149980851,0.009816512432610506,0.01528891484230431
54.0,0.787401578909422,0.2704987205495485,0.010207672842340405,0.015146501439467866
55.0,0.7878620832922316,0.26884653708263057,0.010377491697064449,0.014704016659233848
56.0,0.789538455290937,0.26012793032676373,0.008660072753438863,0.014711857743482114
57.0,0.7942578379123788,0.2518148015816641,0.015940353518926913,0.026033610194000585
58.0,0.7892779701752325,0.24089373244593357,0.0081543513681262,0.01834932607332578
59.0,0.7922736868109841,0.24667427040364776,0.006470666691260562,0.02647478152384452
60.0,0.7895389124844996,0.24064005237798436,0.008061090697251656,0.018366520765373595
61.0,0.7927187188572355,0.253846226884371,0.009347141176831027,0.012090853932297248
62.0,0.785491874868419,0.22693151554516375,0.006653879921309312,0.033297095145495385
63.0,0.7863479685101976,0.2324423242074202,0.013951256932648167,0.03755884120754427
64.0,0.7805816974779718,0.22081772375781356,0.01680026922608695,0.02204564568592544
65.0,0.78954032844907,0.24395538620046314,0.021138926427587267,0.0257765592565292
66.0,0.7883515126442835,0.22654796825523124,0.007349116430309844,0.015610904622975725
67.0,0.791428647176968,0.2385854508434037,0.009339373153474495,0.009281226572129415
68.0,0.7975008959404274,0.2496404659465231,0.01213433769640001,0.015139859655624987
69.0,0.7913886221358075,0.23608657825640536,0.009185203345037349,0.02655800875833822
70.0,0.795898051240348,0.24689723847126652,0.007627062475201571,0.025819152553162663
71.0,0.7917816593720376,0.24043111820012006,0.015522217009309667,0.019411796188918005
72.0,0.7901668229865603,0.2404272654760903,0.014542509782581065,0.0243788852849728
73.0,0.7939350750877994,0.24657047822195896,0.015859861213484854,0.015639410915103225
74.0,0.7978696983773303,0.25425688968352195,0.012804408815544148,0.017900895313001555
75.0,0.7887053348480265,0.23719636368740765,0.016042060650527813,0.026593986450221103
76.0,0.795878772237823,0.25431273828862144,0.011448887076205125,0.029671801442202703
77.0,0.7989419668968071,0.2563333485607786,0.010991659683769778,0.024906336377076756
78.0,0.7992652640922236,0.2572072088246629,0.014855547235270087,0.030588166921595158
79.0,0.7983665558207005,0.2518002083788643,0.01538611230115372,0.012840151716586728
80.0,0.7901409218139162,0.2315319708812332,0.011101991287785377,0.017809594472617166
81.0,0.7908753939720019,0.23924296261399475,0.014075701351748586,0.020056348013207295
82.0,0.7968899586955419,0.250355032448485,0.011400306534231686,0.028837966515939437
83.0,0.7951921622635773,0.2469980344304341,0.013774755234725251,0.033854670060963016
84.0,0.7938096168749661,0.24057273061090081,0.014529112635832205,0.020307700978087498
85.0,0.7992493935102227,0.2541285575558538,0.011465834549449572,0.025124001988336257
86.0,0.789349888545143,0.23335760636595898,0.024846150955334243,0.044507828614195194
87.0,0.7935419345845032,0.24491980490361004,0.01936827642192806,0.0421368810294341
88.0,0.7933739125453869,0.24486835088966635,0.019143869834230394,0.04163941745273424
89.0,0.7935443310814438,0.24420365580754053,0.0158403067506046,0.03967057873622132
90.0,0.7939515484808727,0.24592769265747655,0.01644315552844508,0.04097135156208511
91.0,0.7862778947592115,0.2275320269499173,0.022991402845146038,0.034385500670015647
92.0,0.7915857495295654,0.24077498245438744,0.016761096298721027,0.038270562004913515
93.0,0.7861640364947668,0.2292418277340919,0.017610803046602876,0.032077170369926924
94.0,0.783495466521799,0.22640793411130752,0.021794923137685336,0.033605288580715965
95.0,0.7894392378142665,0.2337454726013967,0.021879682611641225,0.029277181368970666
96.0,0.7895693649488892,0.23942365711877533,0.02048629388949562,0.023423968961924047
97.0,0.7993086951955062,0.2536359409361558,0.012330129517695758,0.021596464914682145
98.0,0.7783129900328857,0.2161526533030496,0.025259559833365072,0.0350932190442224
99.0,0.7725900670873913,0.21474179190494044,0.03499854743443639,0.0378203131241218
100.0,0.7772986229594787,0.2127074849271334,0.025339064225177604,0.02794716517858608
101.0,0.7644046882053004,0.2002269523333473,0.030699973254327204,0.03659395904078783
102.0,0.7801176955541684,0.21679313598750882,0.028536039595210987,0.03261048803146763
103.0,0.7854313654536141,0.22652883721545666,0.027407816102104614,0.029274983085958627
104.0,0.7930657890931782,0.23580868713093475,0.009695125666108225,0.01709088695737071
105.0,0.7825035639542105,0.2282750725011387,0.025866496795901136,0.031736555392414115
106.0,0.7776255819377282,0.2066953960306764,0.023459066133411435,0.02341568015195655
